Id,Label,Popularity
Hany El Sabagh,Hany El Sabagh,0.5
Nasr Seif,Nasr Seif,0.6
Taheya Cariocca,Taheya Cariocca,0.5
Hesham Selim,Hesham Selim,2.368
Kinda Allouch,Kinda Allouch,0.5
Ahmad Faloks,Ahmad Faloks,0.6
Sabry Fawwaz,Sabry Fawwaz,5.197
Abeer Mansour,Abeer Mansour,0.6
Ahlam Al-Gritly,Ahlam Al-Gritly,0.6
Ibrahim Issa,Ibrahim Issa,0.6
Donia El Masry,Donia El Masry,0.6
Shoukry Sarhan,Shoukry Sarhan,0.6
Amina Khalil,Amina Khalil,6.584
Said Tarabeek,Said Tarabeek,3.623
Rady Gamal,Rady Gamal,0.6
Kinda Alloush,Kinda Alloush,2.257
Asser Yassin,Asser Yassin,2.203
Sami Maghouri,Sami Maghouri,2.299
Rafeaa El Shal,Rafeaa El Shal,0.5
Lebleba,Lebleba,3.296
Walid Fawaz,Walid Fawaz,2.156
Sayed Sadek,Sayed Sadek,0.713
Samia Trabelsi,Samia Trabelsi,0.738
Hasan Abdulfattah,Hasan Abdulfattah,0.6
Maged El-Kidwani,Maged El-Kidwani,0.6
Shaima Saif,Shaima Saif,0.5
Maha Ahmed,Maha Ahmed,0.721
Hamada Helal,Hamada Helal,2.36
Jamila Adel Awad,Jamila Adel Awad,0.5
Hazem Samir,Hazem Samir,2.45
Basma Ahmad,Basma Ahmad,0.5
Noor Kadri,Noor Kadri,0.5
Mohammed Aly Rizk,Mohammed Aly Rizk,0.5
Mohamed Mamdouh,Mohamed Mamdouh,2.815
Bayoumi Fouad,Bayoumi Fouad,6.084
Nesreen Ameen,Nesreen Ameen,4.47
Youssef Eid,Youssef Eid,2.81
Hassan Abdel Hamid,Hassan Abdel Hamid,0.98
Aziza Helmy,Aziza Helmy,1.058
Menna Arafa,Menna Arafa,1.4
Adel Emam,Adel Emam,10.791
Mohsen Mansour,Mohsen Mansour,3.436
Nagua Fouad,Nagua Fouad,0.5
Jihane Khalil,Jihane Khalil,0.6
Ragaa Al-Geddawy,Ragaa Al-Geddawy,0.6
Nicole Saba,Nicole Saba,3.326
Ahmed Zaher,Ahmed Zaher,2.374
Bosy,Bosy,0.84
Maged El Kedwany,Maged El Kedwany,3.702
Omar Sharif,Omar Sharif,14.479
Dareen Haddad,Dareen Haddad,2.567
Jerjes Jbara,Jerjes Jbara,0.6
Dolly Shahin,Dolly Shahin,0.5
Hala Sedki,Hala Sedki,5.287
Menassa Fahmy,Menassa Fahmy,0.6
Horeya Farghaly,Horeya Farghaly,2.773
Ahmed Gamal Saeed,Ahmed Gamal Saeed,2.391
Lana Mushtak,Lana Mushtak,0.5
Mahmoud Hijazi,Mahmoud Hijazi,0.6
Samar Gaber,Samar Gaber,0.6
Hend Sabry,Hend Sabry,4.932
Nabil Issa,Nabil Issa,4.018
Omar El-Hariri,Omar El-Hariri,2.662
Aida Reyad,Aida Reyad,3.634
Mohamed Abo El Hassan,Mohamed Abo El Hassan,0.5
Mohammed Tharwat,Mohammed Tharwat,6.432
Karim Abdel Aziz,Karim Abdel Aziz,5.983
Layla Hamadah,Layla Hamadah,1.285
Hasan Kami,Hasan Kami,0.5
Amr Sakr,Amr Sakr,0.5
Marwan Azab,Marwan Azab,0.6
Naglaa Badr,Naglaa Badr,1.753
Salah Zo El Faqqar,Salah Zo El Faqqar,2.744
Dina Abdullah,Dina Abdullah,0.5
Ezzat Abou Aouf,Ezzat Abou Aouf,0.5
Mohamed Metwalli,Mohamed Metwalli,0.5
Juditta Salem-Wolff,Juditta Salem-Wolff,0.5
Mohammed El Sadaany,Mohammed El Sadaany,0.5
Rania Mahmoud Yassin,Rania Mahmoud Yassin,0.6
Younes Shalabi,Younes Shalabi,0.5
Saif Abu-Kandil,Saif Abu-Kandil,0.5
Mai Ezz El-Din,Mai Ezz El-Din,0.5
Diaa El Merghany,Diaa El Merghany,0.6
Hanan Turk,Hanan Turk,3.379
Samia Asaad,Samia Asaad,1.473
Ferdoos Mohammed,Ferdoos Mohammed,0.5
Saki Tsukamoto,Saki Tsukamoto,0.766
Ahmed Eid,Ahmed Eid,2.529
Samir Sabri,Samir Sabri,4.745
Sabrine,Sabrine,0.6
Ahmed Dash,Ahmed Dash,0.5
Amr Abdel Guelil,Amr Abdel Guelil,0.5
Shery Adel,Shery Adel,2.556
Hussien Elgohary,Hussien Elgohary,0.5
Yasmin Raeis,Yasmin Raeis,3.735
Dawood Hussain,Dawood Hussain,0.5
Farouk El Fishawy,Farouk El Fishawy,2.29
Donia Maher,Donia Maher,2.401
Sofinar,Sofinar,0.5
Gerry Sundquist,Gerry Sundquist,6.051
Yousef Fawzy,Yousef Fawzy,0.6
Tareq Abdalla,Tareq Abdalla,0.5
Gameel Barsoum,Gameel Barsoum,0.5
Shikoo,Shikoo,0.6
Dina Fouad,Dina Fouad,1.38
Hadi El-Gayyar,Hadi El-Gayyar,0.5
Majed El Masry,Majed El Masry,0.6
Tamer Shaltout,Tamer Shaltout,0.6
Ghada Adel,Ghada Adel,3.889
Wafaa Amer,Wafaa Amer,2.829
Ahmed Helmy,Ahmed Helmy,0.6
Hamdy Gheith,Hamdy Gheith,0.5
Rico,Rico,0.6
Bayyumi Fuad,Bayyumi Fuad,0.6
Rehab Hussien,Rehab Hussien,0.5
Mahmoud El Gendy,Mahmoud El Gendy,1.129
Basma Yasser,Basma Yasser,0.6
Yasmin Abdulaziz,Yasmin Abdulaziz,1.974
Osama Abdallah,Osama Abdallah,0.6
Khaled Raafat,Khaled Raafat,0.5
Mohamad Al Ahmad,Mohamad Al Ahmad,3.967
Nahla Zaki,Nahla Zaki,1.987
Enaam Al-Gritly,Enaam Al-Gritly,0.6
Madlyn Tabar,Madlyn Tabar,0.6
Mohamed Emam,Mohamed Emam,0.6
Bea,Bea,0.6
Mahmoud Gharib,Mahmoud Gharib,0.682
Hassan el Baroudi,Hassan el Baroudi,1.4
Ahmed Azmy,Ahmed Azmy,1.96
Tharaa Jubail,Tharaa Jubail,0.5
Mohsen Mohiedine,Mohsen Mohiedine,0.5
Amr Youssef,Amr Youssef,4.442
Muhammad Qishta,Muhammad Qishta,0.6
Ahmed Safwat,Ahmed Safwat,0.82
Hassan Moustafa,Hassan Moustafa,0.5
Entsar,Entsar,3.626
Dina Mohsen,Dina Mohsen,1.789
Maram Al Bloushi,Maram Al Bloushi,0.5
Ashraf Hamdy,Ashraf Hamdy,0.753
Dina Amer,Dina Amer,2.744
Dalal Abdel Aziz,Dalal Abdel Aziz,0.5
Samir Waley Eldein,Samir Waley Eldein,0.6
Salloum Haddad,Salloum Haddad,2.219
Nelly Karim,Nelly Karim,4.284
Suhair El-Babili,Suhair El-Babili,0.5
Samy Maghawry,Samy Maghawry,2.299
Nermin Maher,Nermin Maher,3.459
Hany Adel,Hany Adel,3.003
Rahma Hassan,Rahma Hassan,6.753
Diaa El-Merghani,Diaa El-Merghani,1.176
May Kassab,May Kassab,0.5
Ahmed Saeed Abdel-Ghany,Ahmed Saeed Abdel-Ghany,0.758
Abdalla Mahmoud,Abdalla Mahmoud,0.5
Nada Mousa,Nada Mousa,0.5
