Id,Label,Popularity
Mayur Khandge,Mayur Khandge,0.6
Savita Prabhune,Savita Prabhune,2.93
Shweta Pandit,Shweta Pandit,1.094
Shubhankar Tawde,Shubhankar Tawde,0.6
Aditya Bhattacharya,Aditya Bhattacharya,0.6
Salman,Salman,0.6
Komal Gupta,Komal Gupta,0.6
Asha Sachdev,Asha Sachdev,3.165
Mrunmayee Deshpande,Mrunmayee Deshpande,4.411
Varun Khandelwal,Varun Khandelwal,0.6
Sunil Grover,Sunil Grover,3.179
Bikram Chatterjee,Bikram Chatterjee,4.075
Swanand Kirkire,Swanand Kirkire,5.365
Kavin Dave,Kavin Dave,1.047
Uttam Kumar,Uttam Kumar,5.221
Sidharth Malhotra,Sidharth Malhotra,27.181
Arya Babbar,Arya Babbar,5.636
Jennifer Winget,Jennifer Winget,5.855
Vaibhav Mangale,Vaibhav Mangale,1.425
Praneet Bhatt,Praneet Bhatt,4.751
Anju Mahendru,Anju Mahendru,2.585
Guru Somasundaram,Guru Somasundaram,6.973
Alyy Khan,Alyy Khan,20.919
Prarthana Behere,Prarthana Behere,4.71
Vidya Karanjikar,Vidya Karanjikar,0.6
Rajisha Vijayan,Rajisha Vijayan,6.678
Antara Mali,Antara Mali,5.511
Sachin Khedekar,Sachin Khedekar,6.797
Monal Gajjar,Monal Gajjar,3.606
Rajesh Sharma,Rajesh Sharma,6.541
Sam Gold,Sam Gold,1.531
Fawad Khan,Fawad Khan,11.166
Satyen Kappu,Satyen Kappu,3.303
Chittaranjan Tripathi,Chittaranjan Tripathi,0.5
Indrani Haldar,Indrani Haldar,3.818
Daya Shankar Pandey,Daya Shankar Pandey,1.554
Helen Mirren,Helen Mirren,51.237
Rakesh Chaturvedi Om,Rakesh Chaturvedi Om,0.6
Selvaah,Selvaah,2.753
Parakh Madan,Parakh Madan,1.777
Adarsh,Adarsh,0.6
Abishek K.S.,Abishek K.S.,0.5
Tigmanshu Dhulia,Tigmanshu Dhulia,11.387
Sandip Pathak,Sandip Pathak,0.5
Ananth Narayan Mahadevan,Ananth Narayan Mahadevan,3.079
Prasad Reddy,Prasad Reddy,0.6
Maria Menado,Maria Menado,2.673
Ambujakshi,Ambujakshi,0.5
Jasmine Kaur,Jasmine Kaur,3.88
Jassi Gill,Jassi Gill,2.72
Nassar Abdulla,Nassar Abdulla,1.616
Manjari Fadnis,Manjari Fadnis,0.6
Anand Abhyankar,Anand Abhyankar,1.4
Nayantara,Nayantara,0.6
Aparshakti Khurana,Aparshakti Khurana,7.335
Aditi Keskar,Aditi Keskar,0.5
Brandon Jay McLaren,Brandon Jay McLaren,20.623
Vishnu Vinay,Vishnu Vinay,1.518
Praveen Tej,Praveen Tej,2.085
Tanuj Virwani,Tanuj Virwani,2.629
Sabina Sheema,Sabina Sheema,0.6
Zayn Marie Khan,Zayn Marie Khan,0.889
Anjali Nair,Anjali Nair,3.588
Neha Pawar,Neha Pawar,0.629
Manobala,Manobala,10.93
Mohit Bhaskar,Mohit Bhaskar,0.6
Urvashi,Urvashi,7.146
Sornam,Sornam,0.6
Sohag Sen,Sohag Sen,1.361
Amrita Puri,Amrita Puri,3.707
Sonal Jha,Sonal Jha,0.732
Tripti Dimri,Tripti Dimri,12.848
Julian Freund,Julian Freund,0.5
June Maliah,June Maliah,2.192
Aadukalam Naren,Aadukalam Naren,4.049
Aachal Munjal,Aachal Munjal,5.151
Nishant Dahiya,Nishant Dahiya,2.339
Indrans,Indrans,5.363
Rahul Jugraj,Rahul Jugraj,0.651
Makarand Mukund,Makarand Mukund,0.6
Sunny Wayne,Sunny Wayne,2.141
Tenzing Dalha,Tenzing Dalha,0.6
Priyanka Chopra,Priyanka Chopra,20.886
Gurpreet Ghuggi,Gurpreet Ghuggi,3.796
Amal Unnithan,Amal Unnithan,0.98
Konkona Sen Sharma,Konkona Sen Sharma,9.579
Guru Shambu,Guru Shambu,0.5
Sermiyan Midyat,Sermiyan Midyat,3.944
Mukhtar Khan,Mukhtar Khan,2.584
Saumya Daan,Saumya Daan,0.6
Vijay S. Kumar,Vijay S. Kumar,0.6
Sharvari Jamenis,Sharvari Jamenis,1.4
Abuli Mamaji,Abuli Mamaji,0.6
Ross Breen,Ross Breen,1.016
Urvashi Rautela,Urvashi Rautela,10.055
Mahesh Bhatt,Mahesh Bhatt,13.99
Yana Gupta,Yana Gupta,1.702
Makarand Anaspure,Makarand Anaspure,1.96
Mangala Ahire,Mangala Ahire,0.6
Anaitha Nair,Anaitha Nair,1.4
Dia Mirza,Dia Mirza,8.7
Roger Narayan,Roger Narayan,6.23
Amrinder Gill,Amrinder Gill,2.753
Shriya Sharma,Shriya Sharma,3.511
Gaurav Narayanan,Gaurav Narayanan,1.742
Nikhita,Nikhita,6.016
Nakhul,Nakhul,0.5
Sunder,Sunder,2.215
Gayathrie,Gayathrie,5.461
Bommu Lakshmi,Bommu Lakshmi,2.005
Divya Unny,Divya Unny,1.4
Bikramjeet Kanwarpal,Bikramjeet Kanwarpal,1.444
Vineeth Mohan,Vineeth Mohan,1.378
Ritabhari Chakraborty,Ritabhari Chakraborty,1.166
Nandita Das,Nandita Das,11.057
Madhavi,Madhavi,4.699
Joy Sengupta,Joy Sengupta,3.476
Jishu Sengupta,Jishu Sengupta,16.256
Grace Antony,Grace Antony,4.022
Shirley Setia,Shirley Setia,2.39
Samaira Rao,Samaira Rao,0.6
Amrit Maghera,Amrit Maghera,4.088
Rasika Agashe,Rasika Agashe,2.18
Adinath Kothare,Adinath Kothare,3.177
Shrusti Dange,Shrusti Dange,0.5
Trishara,Trishara,0.6
Fardeen Khan,Fardeen Khan,5.394
VK Naresh,VK Naresh,4.178
Charmy Kaur,Charmy Kaur,2.315
Biswanath Basu,Biswanath Basu,3.247
Anindya Bandopadhyay,Anindya Bandopadhyay,0.5
Balaji Manohar,Balaji Manohar,1.96
Miya Muqi,Miya Muqi,13.65
Ameya Hunaswadkar,Ameya Hunaswadkar,0.6
Varalakshmi Sarathkumar,Varalakshmi Sarathkumar,4.339
Vishal Malhotra,Vishal Malhotra,2.123
Gaurav Paswala,Gaurav Paswala,3.124
Sukhdev Barnala,Sukhdev Barnala,0.98
Raman Trikha,Raman Trikha,0.6
