Id,Label,Popularity
Nico Antonio,Nico Antonio,5.081
Ronnie Alonte,Ronnie Alonte,1.58
Lou Veloso,Lou Veloso,6.518
Ivory Aquino,Ivory Aquino,1.96
Nicole Scherzinger,Nicole Scherzinger,20.106
Michael De Mesa,Michael De Mesa,3.142
Angelica C. Ferro,Angelica C. Ferro,0.5
Sam Concepcion,Sam Concepcion,8.142
Geleen Eugenio,Geleen Eugenio,2.26
Xia Vigor,Xia Vigor,3.683
Eamon Farren,Eamon Farren,23.071
Edward Barber,Edward Barber,3.319
Arlene Muhlach,Arlene Muhlach,2.832
JC de Vera,JC de Vera,2.308
Jett Pangan,Jett Pangan,2.092
Jeffrey Quizon,Jeffrey Quizon,3.476
Hannah Ledesma,Hannah Ledesma,1.712
Ana Abad-Santos,Ana Abad-Santos,9.06
Jojo Riguerra,Jojo Riguerra,0.6
Sarah Geronimo,Sarah Geronimo,3.893
Katrina Michelle Legaspi,Katrina Michelle Legaspi,0.6
Teddy Corpuz,Teddy Corpuz,1.96
MC Calaquian,MC Calaquian,8.846
Roxanne Guinoo,Roxanne Guinoo,2.922
Joey Marquez,Joey Marquez,5.035
Wendell Ramos,Wendell Ramos,7.015
Kawa Ada,Kawa Ada,3.063
Ronnie Lazaro,Ronnie Lazaro,4.715
Maritoni Fernandez,Maritoni Fernandez,1.926
Christian Bables,Christian Bables,5.347
Aiko Melendez,Aiko Melendez,1.477
Juan Miguel Severo,Juan Miguel Severo,1.4
Jerry O'Hara,Jerry O'Hara,0.6
Bie Ruaro,Bie Ruaro,0.6
Kakai Bautista,Kakai Bautista,2.172
Eddie Garcia,Eddie Garcia,22.443
Badjie Mortiz,Badjie Mortiz,0.6
Ketchup Eusebio,Ketchup Eusebio,4.813
Minnie Aguilar,Minnie Aguilar,1.577
Zeppi Borromeo,Zeppi Borromeo,2.582
Jerald Napoles,Jerald Napoles,4.806
Jon Lucas,Jon Lucas,1.747
Susan Africa,Susan Africa,4.716
Gabby Concepcion,Gabby Concepcion,2.539
Jelson Bay,Jelson Bay,2.517
Varoon Kessop,Varoon Kessop,0.6
Enchong Dee,Enchong Dee,2.58
Lassy Marquez,Lassy Marquez,8.487
Cheska Iñigo,Cheska Iñigo,0.753
Art Acuña,Art Acuña,30.381
Irma Adlawan,Irma Adlawan,3.616
Gerald Madrid,Gerald Madrid,2.78
Jeffrey Tam,Jeffrey Tam,23.999
Darren Criss,Darren Criss,46.296
Michelle Vito,Michelle Vito,2.974
Myrtle Sarrosa,Myrtle Sarrosa,1.373
Adrian Alandy,Adrian Alandy,3.692
Mylene Dizon,Mylene Dizon,2.185
Lei Andre Navarro,Lei Andre Navarro,0.5
Hasmine Killip,Hasmine Killip,1.4
Assunta de Rossi,Assunta de Rossi,1.999
Julia Barretto,Julia Barretto,6.597
Eugene Domingo,Eugene Domingo,3.255
John Estrada,John Estrada,2.43
Tirso Cruz III,Tirso Cruz III,3.736
Aga Muhlach,Aga Muhlach,5.548
Miles Ocampo,Miles Ocampo,9.695
Cedrick Juan,Cedrick Juan,5.702
Maricar Reyes,Maricar Reyes,3.875
Liza Lorena,Liza Lorena,4.497
Richard Gutierrez,Richard Gutierrez,9.894
Jaclyn Jose,Jaclyn Jose,3.01
Alden Richards,Alden Richards,1.922
Shy Carlos,Shy Carlos,0.988
Glaiza De Castro,Glaiza De Castro,3.183
Lotlot De Leon,Lotlot De Leon,3.047
Dawn Zulueta,Dawn Zulueta,2.566
Janus del Prado,Janus del Prado,2.3
Via Antonio,Via Antonio,2.019
Tom Rodriguez,Tom Rodriguez,3.577
Hannah Ladesma,Hannah Ladesma,0.5
Bing Pimental,Bing Pimental,0.5
Gio Alvarez,Gio Alvarez,3.599
Carlos Agassi,Carlos Agassi,2.207
Angelica Panganiban,Angelica Panganiban,13.597
Lou Diamond Phillips,Lou Diamond Phillips,19.399
Jameson Blake,Jameson Blake,3.573
Raymond Lee,Raymond Lee,10.34
Chienna Filomeno,Chienna Filomeno,4.357
John Manalo,John Manalo,2.437
Sunshine Cruz,Sunshine Cruz,4.074
Archi Adamos,Archi Adamos,5.487
James Blanco,James Blanco,1.4
Gloria Sevilla,Gloria Sevilla,4.63
Gigi De Lana,Gigi De Lana,0.6
Xyriel Manabat,Xyriel Manabat,5.048
Ricky Davao,Ricky Davao,10.893
Soliman Cruz,Soliman Cruz,6.348
Kaka Bautista,Kaka Bautista,0.5
Armida Siguion-Reyna,Armida Siguion-Reyna,1.401
Kean Cipriano,Kean Cipriano,4.264
Richard Manabat,Richard Manabat,0.6
Lao Rodriguez,Lao Rodriguez,5.298
Ricci Chan,Ricci Chan,1.4
Karla Estrada,Karla Estrada,1.108
Soxy Topacio,Soxy Topacio,1.56
Jiro Manio,Jiro Manio,6.027
Arci Muñoz,Arci Muñoz,2.313
Cris Villanueva,Cris Villanueva,2.114
Robert Villar,Robert Villar,0.728
John Lapus,John Lapus,4.93
Dido Dela Paz,Dido Dela Paz,0.6
Luz Valdez,Luz Valdez,2.305
Lui Manansala,Lui Manansala,8.084
Chin Chin Gutierrez,Chin Chin Gutierrez,1.228
Mercedes Cabral,Mercedes Cabral,17.004
Perla Bautista,Perla Bautista,1.727
Daniel Padilla,Daniel Padilla,10.176
Ana Capri,Ana Capri,2.804
Cherry Pie Picache,Cherry Pie Picache,7.166
Angeline Quinto,Angeline Quinto,2.776
Andre Garcia,Andre Garcia,1.467
Alora Sasam,Alora Sasam,0.983
Devon Seron,Devon Seron,2.616
Gerald Anderson,Gerald Anderson,9.043
John Arcilla,John Arcilla,6.243
Soma Bhatia,Soma Bhatia,2.336
Maxene Magalona,Maxene Magalona,2.307
Bibeth Orteza,Bibeth Orteza,3.561
Tim Donadt,Tim Donadt,2.887
Joem Bascon,Joem Bascon,2.47
Maricel Soriano,Maricel Soriano,8.93
Kiko Matos,Kiko Matos,3.552
Carmi Martin,Carmi Martin,10.055
Arron Villaflor,Arron Villaflor,8.115
Darren Espanto,Darren Espanto,4.626
Derek Ramsay,Derek Ramsay,7.609
Odette Khan,Odette Khan,5.97
Dionne Monsanto,Dionne Monsanto,3.016
Dolly De Leon,Dolly De Leon,7.177
Vilma Santos,Vilma Santos,16.996
Manny Jacinto,Manny Jacinto,19.884
Cesar Montano,Cesar Montano,3.886
Alvin Anson,Alvin Anson,3.842
Ryan Bang,Ryan Bang,2.451
Jhong Hilario,Jhong Hilario,3.694
Yuki Kadooka,Yuki Kadooka,0.648
Maria Isabel Lopez,Maria Isabel Lopez,5.314
Allan Paule,Allan Paule,2.318
Meryll Soriano,Meryll Soriano,2.312
RK Bagatsing,RK Bagatsing,7.306
JC Santos,JC Santos,5.863
Erlinda Villalobos,Erlinda Villalobos,2.458
Nino Muhlach,Nino Muhlach,0.932
Dante Basco,Dante Basco,14.38
Jeric Raval,Jeric Raval,5.844
Kokoy DeSantos,Kokoy DeSantos,0.5
Vangie Labalan,Vangie Labalan,1.599
Freddie Webb,Freddie Webb,1.22
