Id,Label,Popularity
Birgitte Hjort Sørensen,Birgitte Hjort Sørensen,12.262
Kate Winslet,Kate Winslet,51.984
Pilar Castro,Pilar Castro,6.588
Ian McKellen,Ian McKellen,33.175
Teresa Rabal,Teresa Rabal,6.774
Dean Norris,Dean Norris,24.076
Ángela Molina,Ángela Molina,17.299
Justina Machado,Justina Machado,12.65
Daniel Jumillas,Daniel Jumillas,0.608
María Noel Gutiérrez,María Noel Gutiérrez,0.6
John Krasinski,John Krasinski,75.788
Javier Abad,Javier Abad,0.6
Mark DeCarlo,Mark DeCarlo,8.533
Miguel Ángel Solá,Miguel Ángel Solá,4.064
Albert Pérez,Albert Pérez,1.366
Etienne Bobenrieth,Etienne Bobenrieth,0.988
César Troncoso,César Troncoso,3.55
Ana Torrent,Ana Torrent,6.692
Luis Bermejo,Luis Bermejo,3.445
Alice Braga,Alice Braga,27.931
Hovik Keuchkerian,Hovik Keuchkerian,8.086
Francesc Orella,Francesc Orella,10.112
Natàlia Barrientos,Natàlia Barrientos,1.38
Asia Ortega Leiva,Asia Ortega Leiva,11.436
Jon Plazaola,Jon Plazaola,1.96
José Ángel Egido,José Ángel Egido,3.169
Pepe Ocio,Pepe Ocio,2.226
Chacha Huang,Chacha Huang,1.471
Úrsula Corberó,Úrsula Corberó,41.16
Juan Pablo Shuk,Juan Pablo Shuk,1.675
Sonia Almarcha,Sonia Almarcha,5.246
Dolores Heredia,Dolores Heredia,6.297
Rob Paulsen,Rob Paulsen,21.265
Cristina Urgel,Cristina Urgel,0.851
Florin Opritescu,Florin Opritescu,4.186
Marisa Paredes,Marisa Paredes,5.195
Oliver Jackson-Cohen,Oliver Jackson-Cohen,19.357
Manel Barceló,Manel Barceló,1.361
Bronwen Mantel,Bronwen Mantel,3.429
Antonio Díaz,Antonio Díaz,0.6
Sergi Lopez,Sergi Lopez,4.546
Elisabet Casanovas,Elisabet Casanovas,9.81
César Vea,César Vea,5.733
Jessica Serna,Jessica Serna,0.6
Ana Villagrasa,Ana Villagrasa,0.5
Patricia Arbúes,Patricia Arbúes,1.552
Fernando Cayo,Fernando Cayo,7.7
Ahmed Boulane,Ahmed Boulane,2.731
Ana López,Ana López,0.6
Cecilia Suárez,Cecilia Suárez,7.63
Marc Rodríguez,Marc Rodríguez,1.027
Nuria Prims,Nuria Prims,5.472
Dwayne Johnson,Dwayne Johnson,48.215
Àlex Monner,Àlex Monner,5.66
María Pujalte,María Pujalte,3.046
Iván Chavero,Iván Chavero,6.098
Mima Riera,Mima Riera,1.844
Miren Ibarguren,Miren Ibarguren,10.183
Fede Pérez,Fede Pérez,0.6
Javier Hernández,Javier Hernández,1.62
María Valverde,María Valverde,69.263
Liam Neeson,Liam Neeson,89.826
Eileen Stevens,Eileen Stevens,2.578
Héctor Alterio,Héctor Alterio,3.578
Miguel Ángel Silvestre,Miguel Ángel Silvestre,14.573
Gerardo Taracena,Gerardo Taracena,14.2
Jessica Biel,Jessica Biel,33.203
Unax Ugalde,Unax Ugalde,6.895
Sigourney Weaver,Sigourney Weaver,32.406
Guillermo Toledo,Guillermo Toledo,5.948
Jorge Clemente,Jorge Clemente,3.913
Andrés Parra,Andrés Parra,9.993
Martin Short,Martin Short,22.498
Iria del Río,Iria del Río,3.542
Yolanda Ramos,Yolanda Ramos,5.005
Carolina Bang,Carolina Bang,5.009
Paula Morado,Paula Morado,1.684
Lidia San José,Lidia San José,0.69
Belén López,Belén López,5.463
Tom Holland,Tom Holland,85.896
Giulia Charm,Giulia Charm,1.4
Raúl Jiménez,Raúl Jiménez,1.286
Omar Ayuso,Omar Ayuso,7.862
Anna Massey,Anna Massey,8.715
Robert Long,Robert Long,16.989
David Masajnik,David Masajnik,0.83
Brooklyn Beckham,Brooklyn Beckham,0.6
Ricky Merino,Ricky Merino,1.563
Itziar Castro,Itziar Castro,6.693
Ramón Agirre,Ramón Agirre,6.66
Luichi Macías,Luichi Macías,1.216
Alejandro Speitzer,Alejandro Speitzer,11.217
Logan Creran,Logan Creran,3.736
Julia Roberts,Julia Roberts,35.709
Marta Domingo,Marta Domingo,0.6
James Giblin,James Giblin,1.22
Bárbara Lennie,Bárbara Lennie,11.069
Gael García Bernal,Gael García Bernal,20.168
Camila Bossa,Camila Bossa,2.062
Chiwetel Ejiofor,Chiwetel Ejiofor,51.573
Silvia Marty,Silvia Marty,3.951
Jordi Vilches,Jordi Vilches,5.855
Greg Kinnear,Greg Kinnear,30.898
Mercedes Castro,Mercedes Castro,2.327
Roberto Bonacini,Roberto Bonacini,1.972
Gorka Otxoa,Gorka Otxoa,3.944
Itziar Ituño,Itziar Ituño,17.593
Carles Arquimbau,Carles Arquimbau,0.6
Jess Weixler,Jess Weixler,11.329
Bobby Moynihan,Bobby Moynihan,48.864
Antonio de la Torre,Antonio de la Torre,3.969
Jorge Bosch,Jorge Bosch,2.876
Martina Stetson,Martina Stetson,0.6
Guillermo Francella,Guillermo Francella,11.089
Ginés García Millán,Ginés García Millán,8.109
Manuel Vicente,Manuel Vicente,1.388
Rachel Lascar,Rachel Lascar,3.911
Valeria Schoneveld,Valeria Schoneveld,1.114
Ricardo Nkosi,Ricardo Nkosi,0.836
Ana Blanco de Córdova,Ana Blanco de Córdova,1.614
Ester Expósito,Ester Expósito,45.469
Núria Prims,Núria Prims,5.472
Patxi Santamaría,Patxi Santamaría,3.044
Cristina Plazas,Cristina Plazas,5.165
Toni Salgado,Toni Salgado,1.646
Ingrid Rubio,Ingrid Rubio,4.848
Alexander Holtmann,Alexander Holtmann,0.615
Lee Ingleby,Lee Ingleby,19.785
Joaquín Cardiel,Joaquín Cardiel,0.968
Jay Pharoah,Jay Pharoah,34.917
Rob Brydon,Rob Brydon,15.61
Carlos Kaspar,Carlos Kaspar,0.902
Enrique San Francisco,Enrique San Francisco,2.329
Gary Lineker,Gary Lineker,13.281
Alma Terzic,Alma Terzic,2.764
Melody,Melody,0.6
Berta Garcia,Berta Garcia,0.6
Adriana Ugarte,Adriana Ugarte,20.093
Nicholas Hoult,Nicholas Hoult,47.342
Gotzon Sánchez,Gotzon Sánchez,3.223
Carys Doyle,Carys Doyle,0.5
Miquel Insua,Miquel Insua,2.302
Daniel Sánchez Arévalo,Daniel Sánchez Arévalo,1.748
Marta Hazas,Marta Hazas,11.268
Félix Gómez,Félix Gómez,2.651
James Arnold Taylor,James Arnold Taylor,22.529
Francesc Garrido,Francesc Garrido,3.994
Paula Echevarría,Paula Echevarría,12.058
Igal Naor,Igal Naor,7.738
Halle Berry,Halle Berry,46.946
María Vázquez,María Vázquez,6.768
Daniel Lundh,Daniel Lundh,3.43
Eduard Fernández,Eduard Fernández,10.342
Rossy de Palma,Rossy de Palma,10.02
Ira del Río,Ira del Río,0.5
Luisa Rubino,Luisa Rubino,2.586
Eleonora Wexler,Eleonora Wexler,2.739
Alejandro Awada,Alejandro Awada,2.768
Álvaro Ogalla,Álvaro Ogalla,0.888
Vicente Romero,Vicente Romero,0.6
Fina Rius,Fina Rius,0.6
Pedro Casablanc,Pedro Casablanc,3.231
Federico Luppi,Federico Luppi,3.305
Mela Casal,Mela Casal,0.6
Colin McFarlane,Colin McFarlane,17.308
Ben Temple,Ben Temple,7.824
Nidia Telles,Nidia Telles,0.6
Milla Jovovich,Milla Jovovich,34.673
Christian Bale,Christian Bale,70.519
Max Marieges,Max Marieges,0.6
Maxi Iglesias,Maxi Iglesias,12.504
Jordi Sánchez,Jordi Sánchez,7.326
Arantza Ruiz,Arantza Ruiz,0.603
Bea Segura,Bea Segura,16.64
Javier Rey,Javier Rey,6.976
Nil Cardoner,Nil Cardoner,2.21
Candela Antón,Candela Antón,2.468
Aina Clotet,Aina Clotet,6.571
Jorge Basanta,Jorge Basanta,1.62
Ana Santos,Ana Santos,0.6
Belén Rueda,Belén Rueda,9.649
Sönke Möhring,Sönke Möhring,11.285
Eugenio Derbez,Eugenio Derbez,28.189
Dominic Boyle,Dominic Boyle,0.6
Mario Guerra,Mario Guerra,2.744
Rodrigo de la Serna,Rodrigo de la Serna,5.713
Manu Fullola,Manu Fullola,6.518
Júlia Gibert,Júlia Gibert,1.4
Leander Vyvey,Leander Vyvey,0.874
Charo López,Charo López,1.81
Belén Cuesta,Belén Cuesta,10.007
Veronica Falcón,Veronica Falcón,16.351
Vicky Luengo,Vicky Luengo,7.623
Lluís Homar,Lluís Homar,5.439
Jason Schwartzman,Jason Schwartzman,28.095
Klaudia Dudová,Klaudia Dudová,1.38
Jon Arias,Jon Arias,1.753
Itzan Escamilla,Itzan Escamilla,9.139
Luis Luque,Luis Luque,5.249
Richard van Weyden,Richard van Weyden,3.424
Carlos Manuel Díaz,Carlos Manuel Díaz,0.98
Penélope Cruz,Penélope Cruz,23.628
Dani El Rojo,Dani El Rojo,0.6
