x,y,cluster_labels,movie_titles,overview,production_countries,release_date,Doc_ID,centroid,x_centroid,y_centroid,distance_to_centroid,topic_strings
-10.742478,-6.274333,2,The Strangers,"Kristen and James are expecting a relaxing weekend at a family vacation home, but their stay turns out to be anything but peaceful. First, a mysterious and dangerous woman arrives at the door while James is out on an errand. When he returns, he accidentally kills his friend Mike, mistaking him for an intruder. And then real danger does show up -- in the form of three masked torturers, leaving Kristen and James struggling for survival.",['United States of America'],2008-05-29,478,2_centroid,-18.429504,5.386235,13.966361,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-26.541296,9.794892,2,I Am Sam,"Sam, a neurodivergent man, has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations as a parent start to become a problem and the authorities take her away. Sam convinces high-priced lawyer Rita to take his case pro bono and in turn teaches her the value of love and family.",['United States of America'],2001-12-28,636,2_centroid,-18.429504,5.386235,9.232411,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-22.38726,14.16791,2,Piercing,"After kissing his wife and baby goodbye for a seemingly normal business trip, Reed checks himself into a hotel room to accomplish something he’s always dreamed of: the perfect murder. As his sinister plans unfold, he soon realizes he might be in over his head with a mysteriously unhinged call girl named Jackie.","['France', 'United States of America']",2018-12-13,1400,2_centroid,-18.429504,5.386235,9.632322,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-21.880318,5.262481,2,Locksmith’s Debt,"After his father’s death, poor Berhudar is left dealing with his father’s huge debt to the mob. In one of his many attempts to find a way out of his problem, he meets Ezel. He hopes she will help him get out of the mess he is in. Little does he know the she’s dealing with a very similar trouble...",['Turkey'],2016-04-08,2085,2_centroid,-18.429504,5.386235,3.4530315,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-12.305225,-5.986159,2,GAME,"A high school teenager named Nabiel who is already late for school tries to return to his house to pick up the homework he left behind. But it was a trap, Nabiel's childhood friend Mansur. He wants to take revenge on Nabiel for what Nabiel did to him as a child.",[],2023-09-28,2507,2_centroid,-18.429504,5.386235,12.916584,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-26.133844,1.8661005,2,Jinxed,"Meet the Murphys, a family with never ending bad luck. ""Anything that can go wrong, will go wrong,"" it's Murphy's law! Over a century ago a witch put a magical curse on their great-great grandfather and the whole family has been jinxed for generations! After Meg Murphy (played by Big Time Rush's Ciara Bravo) and her family's house is destroyed in yet another freak accident, the family moves into their grandfather's house in Harvest Hills. In a not-so-strange case of bad luck, Meg's nemesis Ivy is also spending the summer in town. But things start to look up, kind of, when Meg meets a local boy named Brett and he casts another spell on her, a love spell that is! With help from her brother Charlie, Meg more determined than ever, must break the hex on her catastrophically cursed family! Watch this doomed teen try for a normal existence in a world full of hijinks!",[],2013-11-29,2647,2_centroid,-18.429504,5.386235,8.470431,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-6.972721,14.462228,2,Love for Sale,"Trey is a young deliveryman who can't seem to catch a break. His whole life is a shambles - no money for college and no game to attract the ladies. After a failed attempt to get together with the girl of his dreams, Trey gets caught up by a seductive older woman who pays for his ""personal delivery services."" He's having the time of his life - at first, but this deceptively ideal situation soon sends his life spinning out of control!",['United States of America'],2008-02-09,2733,2_centroid,-18.429504,5.386235,14.616139,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-4.0184083,1.7883246,2,Sextuplets,"Father-to-be Alan is shocked to learn that he was born a sextuplet. With his newfound brother Russell riding shotgun, the duo sets out on a hilarious journey to reunite with their remaining long-lost siblings.",['United States of America'],2019-08-16,2842,2_centroid,-18.429504,5.386235,14.853439,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-28.049246,6.1336856,2,My Babysitter's a Vampire,"Geeky 14-year old Ethan is left to babysit his younger sister, Jane, with his best friend Benny but after Ethan inadvertently puts Jane in harm's way, his parents hire a professional babysitter, the beautiful yet mysterious 17-year-old Sarah who, unbeknownst to them, is actually a fledgling vampire.",['Canada'],2010-10-09,3581,2_centroid,-18.429504,5.386235,9.648736,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-17.848215,-4.961451,2,My Suicide,"After declaring that he's going to film himself committing suicide for a school project, Archie videotapes his surprising interactions with worried family members, interested classmates, unreliable medical experts and the hottest girl in school.",[],2009-02-07,3675,2_centroid,-18.429504,5.386235,10.364001,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-22.976206,11.480443,2,Stereo,"Erik has is own motorbike workshop in a sleepy little town. He may have the telling word ‘scoundrel’ tattooed onto his lower arm but he nonetheless creates an impression of a well-behaved average Joe. His relationship with his girlfriend Julia is going well and her daughter Linda is very fond of her new Dad. But then all of a sudden the mysterious Henry appears and begins following him about like a sinister shadow. The more Erik tries to shake off his diabolical guest the more Henry intrudes into his life. But then when a violent gangster named Keitel enters the fray and threatens not only Erik but Julia and Linda, Erik’s seemingly ideal world begins to run off the rails.",['Germany'],2014-05-15,4536,2_centroid,-18.429504,5.386235,7.603411,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-26.081554,10.00323,2,As Good as It Gets,"Melvin Udall, a cranky, bigoted, obsessive-compulsive writer of romantic fiction, is rude to everyone he meets, including his gay neighbor, Simon. After Simon is hospitalized, Melvin finds his life turned upside down when he has to look after Simon's dog. In addition, Carol, the only waitress at the local diner who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",['United States of America'],1997-12-19,5011,2_centroid,-18.429504,5.386235,8.937031,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-7.5299153,4.413605,2,Breaking Free,"When troubled, cynical teen Rick chooses service at a camp for the blind over serving time at a correctional facility, he thinks he's found the easy way out. Instead, it's the way to a new life. Friendship. Step by step, as Rick helps a blinded Gymnast rediscover the joys of competition through equestrian show jumping, they begin to take control of the most important journey of all... a journey called life.",['United States of America'],1995-09-02,5165,2_centroid,-18.429504,5.386235,10.9429,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-24.832005,-0.59637827,2,Brick,"After a phone call from his ex-girlfriend, teenage loner Brendan Frye learns that her dead body was found. Vowing to solve her murder himself, he must infiltrate high-school cliques that he previously avoided. His search for the truth brings him before some of the school’s roughest characters.",['United States of America'],2006-03-31,5171,2_centroid,-18.429504,5.386235,8.7626295,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-26.453394,9.702468,2,Heartthrob,"Sam Maddox, a troubled girl whose father committed suicide, has earned a reputation at her high school for being a bit promiscuous. When Sam begins seeing brilliant, MIT-bound Henry Sinclair, the two opposites really attract. Although Sam doesn't realize it, Henry is in the grip of an insane romantic obsession, and he will kill anyone who tries to put an end to his star-crossed - and increasingly deadly - romance.",['United States of America'],2017-10-10,5655,2_centroid,-18.429504,5.386235,9.111129,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-24.096193,9.066735,2,Here Is Harold,"For over 40 years, Harold has been running a successful business, Lunde Furniture, together with his wife, Marny. This comes to an end when IKEA decides to open a new superstore right next door to Harolds small furniture shop. Harold and Marny lose both their shop and their home to the bank, and to make matter worse, Marny is starting to lose her memory. In mounting anger and desperation, Harold wants revenge. He arms himself with a pistol, gets into his old Saab, and sets off for lmhult, Sweden, to kidnap his nemesis, the founder of IKEA, Ingvar Kamprad.",['Norway'],2014-10-31,5661,2_centroid,-18.429504,5.386235,6.757029,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-24.096104,9.066732,2,Here Is Harold,"For over 40 years, Harold has been running a successful business, Lunde Furniture, together with his wife, Marny. This comes to an end when IKEA decides to open a new superstore right next door to Harolds small furniture shop. Harold and Marny lose both their shop and their home to the bank, and to make matter worse, Marny is starting to lose her memory. In mounting anger and desperation, Harold wants revenge. He arms himself with a pistol, gets into his old Saab, and sets off for lmhult, Sweden, to kidnap his nemesis, the founder of IKEA, Ingvar Kamprad.",['Norway'],2014-10-31,5664,2_centroid,-18.429504,5.386235,6.7569523,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
-14.708929,-6.283752,2,Last Ferry,"When a young gay lawyer arrives on Fire Island to explore his sexuality, he becomes witness to a murder after being drugged. A stranger helps him to safety, but he soon discovers his saviour is friends with the killer.",['United States of America'],2019-10-31,5922,2_centroid,-18.429504,5.386235,12.248725,"jonas, zach, marny, shonzi, nabiel, dane, ikea, gene, furniture, erik"
