Source,Target
Shalini Vatsa,Sitaram Panchal
Ammy Virk,Harby Sangha
Alok Nath,Harish Patel
Anant Jog,Kalki Koechlin
Satyendra Kapoor,Subhash Ghai
Moksha Kushal,Vedashree Rao
Bipasha Basu,Dibyendu Bhattacharya
Gracy Singh,Mukesh Tiwari
Kanika Batra,Rajit Kapoor
Himani Shivpuri,Kareena Kapoor
Johny Lever,Sonam Kapoor
Adil Hussain,Amrit Maghera
Bhumi Pednekar,Sudhir Pandey
Nedumudi Venu,Remya Nambeesan
Hema Malini,Shakti Kapoor
Kishori Shahane,Narendra Jha
Sarika,Vijay Raaz
Dulquer Salmaan,Nazriya Fahad
Gajraj Rao,Manoj Bajpayee
A.K. Hangal,Neena Gupta
Satya Prakash,Shatrughan Sinha
Mahie Gill,Rajesh Khera
Dheeresh Joshi,Mayur Khandge
Chandana Koppisetti,VK Naresh
Rajesh Sharma,Shernaz Patel
Manav Gohil,Vinay Jain
Alok Nath,Satish Shah
Aayam Mehta,Reeth Mazumder
Deepak Dobriyal,Sonam Kapoor
Kulbhushan Kharbanda,Manoj Joshi
Aamir Bashir,Deepal Shaw
Anandhi,Aruldass
Gippy Grewal,Vikram Grover
Moin Khan,Nyla Masood
Jimmy Shergill,Nitish Pandey
Anoop Menon,Mithra Kurian
Amrita Bagchi,Vir Das
Rahman,Regina Cassandra
Rati Agnihotri,Vrajesh Hirjee
Shah Rukh Khan,Shashi Sharma
Sonalee Kulkarni,Suresh Menon
Jamie Lever,Supriya Pathak
Neil Bhoopalam,Pooja Bedi
Sanjay Narvekar,Vaibhav Mangale
Sandeep Bharadwaj,Usha Jadhav
Dia Mirza,Ranbir Kapoor
Radhika Apte,Veena Jamkar
Hearty Singh,Karan Kundra
Nikhil Chopra,Satchit Puranik
Manisha Koirala,Ranbir Kapoor
Anjali,Rythvika Suriya
Neeraj Kabi,Paras Priyadarshan
Sonam Kapoor,Swara Bhaskar
Aditya Pancholi,Jackie Shroff
Dilip Joshi,Nirmal Pandey
Sharat Saxena,Vishwajeet Pradhan
Goutham Shashidhar,Ramesh Bhat
Arya Babbar,Dharampal
Kritika Bharadwaj,Ravin Makhija
Anju Kurian,Nikhila Vimal
