Source,Target
Alberto Jiménez,Miguel de Miguel
José Juan Vaquero,Ricardo Quevedo
Alberto Ammann,Claudia Traisac
Itziar Ituño,Úrsula Corberó
Enric Auquer,Godeliv Van den Brandt
Kaiet Rodriguez,Álvaro Roig
Alex Norton,Chazz Palminteri
Jassa Ahluwalia,Jessica De Gouw
Cassandra Ciangherotti,Raúl Arévalo
Antonio Resines,Maribel Salas
Odiseo Bichir,Raúl Medina
Alexandra Jiménez,Paula Malia
Antonio Dechent,Iván Morales
Eduardo Recabarren,Nidia Telles
Ana María Ayala,Macarena Gómez
Emilio Gutiérrez Caba,Najwa Nimri
James Arnold Taylor,Raven-Symoné
Guillermo Toledo,Jorge Andreu
Katherine Kelly,Youssef Kerkour
Jon Arias,Juan Carlos Messier
Sergio Hernández,Silvia Marty
Itziar Lazkano,Khaled Kouka
Concha Velasco,Llorenç González
Imanol Arias,Megan Montaner
Cecilia Gómez,Lali Espósito
Carmen Santamaría,Chema Ruiz
Fernando Barona,Juan Blanco
Carlos Cuevas,Mar del Hoyo
Melina Matthews,Raúl Medina
Richard Collins-Moore,Víctor Elías
Ahmed Boulane,Jorge Andreu
Dylan McDermott,Tim McInnerny
Martiño Rivas,Nadia de Santiago
Darío Valenzuela,Eduardo Blanco
Abel Folk,Òscar Jarque
Gael García Bernal,Raúl Arévalo
Antonio Resines,Álex García
Goyo Jiménez,Ricardo Quevedo
Elvira Mínguez,Penélope Cruz
Denis Gómez,Sara Sanz
Eneko Sagardoy,Kandido Uranga
Chema Ruiz,Miguel Ángel Silvestre
Maggie Civantos,Roberto Enríquez
Belén Rueda,Rubén Ochandiano
Joaquín Climent,Tito Valverde
Carlos Hipólito,Ledicia Sola
Guiomar Puerta,Israel Elejalde
Juan Diego,Marisa Paredes
Angel Alkain,"Carlos Librado ""Nene"""
Miguel Bernardeau,Álvaro Rico
Sergi Subirà,Vicente Romero
Amaia Aberasturi,Daniel Fanego
Barry Ward,Belén López
Itzan Escamilla,Álvaro Rico
Camila Bossa,César Cambeiro
Ben Temple,Eloy Azorín
Eiza González,Emma Roberts
Montse Guallar,Paula Malia
Andoni Agirregomezkorta,Sílvia Abril
Javier Rey,Núria Prims
Kevin Grevioux,Raven-Symoné
Elena Irureta,Marta Belmonte
Carlos Blanco,Pepe Ocio
Julio Bracho,Paz Vega
Andrés Gertrúdix,Isak Ferriz
José Sacristán,Mario Casas
Luis Tosar,Michelle Jenner
Mel Brooks,Shawn Mendes
Alba Galocha,Jaroslaw Bielski
Laura Linney,Matt Craven
Carmen Machi,Julián López
Alexandra Jiménez,Imanol Arias
Javier Abad,Xavier Estévez
Antonio Valero,Inma Cuesta
Itziar Lazkano,Marcial Álvarez
Anna Maria Barbany,Pep Jové
Anna Moliner,Berta Castañé
Carlos Areces,Joaquín Reyes
Emma Suárez,Inma Cuesta
Liam Neeson,Toby Kebbell
Antonio Dechent,Ángela Molina
Alicia Sánchez,Pedro Casablanc
Pilar Castro,Édgar Vittorino
Fernando Barona,Miguel Ángel Solá
Laura Prats,Luis Bermejo
Carmina Barrios,Javier Godino
Francesco Carril,Silvia Alonso
Inma Cuesta,José Ángel Egido
Camila Bossa,Isabel Garrido
Claudia Riera,Yasmina Drissi Sales
Fernando Guallar,Imanol Arias
Eneko Sagardoy,Gotzon Sánchez
Jeannette Sauksteliskis,María Noel Gutiérrez
Borja Luna,Ilay Kurelovic
Carmen Machi,Dani Rovira
Emilio Palacios,Patrick Criado
Natalia Tena,Pol Monen
Clara Lago,Jordi Sánchez
Rainer Reiners,Toni Gomila
Ahmad Alhamsho,Boris Ruiz
Mariana Cordero,Natalia Mateo
Jorge Asín,Xavi Lite
Javier Hernández,Luis Callejo
Félix Gómez,Tamar Novas
Begoña Vargas,Eduardo Blanco
Ivana Baquero,Luis Bermejo
Abdel Aziz El Mountassir,Daniel Faraldo
Inma Cuesta,Roque Ruíz
Pilar Castro,Àlex Monner
Arón Piper,María Tasende
Carlos Cuevas,Paula Malia
Andrés Gertrúdix,Álvaro Roig
Juan Carlos Aduviri,Leónidas Chiri
Alicia Borrachero,Amaia Salamanca
Guillermo Toledo,Juan Blanco
Jorge Suquet,Pablo Béjar
Julio Marticorena,Mónica Duprat
Lluís Homar,Luisa Merelas
Igor Szpakowski,Sergi López
Tino Martinez,Álvaro Ogalla
David Masajnik,Héctor Alterio
Carmela Martins,Paula Morado
Harlys Becerra,Najwa Nimri
Nuria Prims,Terele Pávez
Dady Brieva,Nora Navas
Miguel Borines,Álex González
Carmela Martins,Luís Zahera
Daniel Ibáñez,Yaima Ramos
Ahmed Boulane,Juan Blanco
Andrés Gertrúdix,Luis Callejo
Jason Isaacs,Said Faraj
Blanca Suárez,Joaquín Climent
Cecilia Freire,Miriam Giovanelli
Daniel Currás,Xabier Deive
Javier Abad,Édgar Vittorino
Belén Cuesta,Michelle Jenner
Inma Cuevas,María Isabel Díaz
Jorge Asín,Rodrigo de la Serna
Carlos Villarino,Toni Salgado
Victor Valdes,Xavi Hernández
Arón Piper,Omar Ayuso
David Ryall,Tim McInnerny
Ana Santos,Jorge Suquet
Dylan McDermott,Robert Forster
Fernando Cayo,Rodolfo Sancho
Juanma Cifuentes,Raúl Fernández
César Cambeiro,Susana Dans
Dorothy Carroll,Talia Pura
Hopper Penn,Nicolas Cage
César Vea,Ivana Baquero
Gustavo Garzón,Marcelo D'Andrea
Ben Moor,Toby Kebbell
Alfonso Sánchez,Secun de la Rosa
Miquel Gelabert,Patrick Criado
Alain Hernández,Frank Feys
Dagoberto Gama,Juan José Arjona
Albert Mora,Frank Feys
Daniel Lundh,Ignacio Montes
Andrea Carballo,Blanca Suárez
Javier Abad,Pilar Castro
Alejandro Vera,Jorge Asín
Silvia Alonso,Álex Gadea
Geraldine Chaplin,Jennifer Lim
Milo Taboada,Nuria Mencía
Esti Quesada,Llum Barrera
Juanjo Almeida,María Pujalte
Luis Tosar,Xan Cejudo
Jaime Blanch,Natalia Millan
Jorge Andreu,José Luis García Pérez
Álvaro Cervantes,Úrsula Corberó
Antonio Resines,Verónica Echegui
Ingrid García Jonsson,Kandido Uranga
Joaquín Furriel,Joaquín Rapalini
Diego Muñoz,Gael García Bernal
Belén Cuesta,Henry Méndez
Adelfa Calvo,Jorge Andreu
Adelfa Calvo,Elena Irureta
Concha Velasco,Raquel Sierra
Llorenç González,Miguel Ángel Silvestre
Júlia Creus,Pep Jové
Alain Hernández,Ginés García Millán
Lucía Álvarez,Sara Sanz
Guillermo Toledo,Miguel Ángel Solá
José Coronado,Nausicaa Bonnín
Ingrid García Jonsson,Secun de la Rosa
José María Pou,Luisa Gavasa
Isak Ferriz,Miquel Gelabert
Goize Blanco,Marta Milans
Gilbert Gottfried,Harvey Fierstein
Cecilia Caballero Jeske,Tomás Wahrmann
Alba Flores,Harlys Becerra
Jordi Martínez,Rubén de Eguia
Julián Villagrán,Rodolfo Sancho
Bárbara Lennie,Marta Larralde
Edgar Ramírez,Wagner Moura
Malena Alterio,Úrsula Corberó
Berto Romero,Clara Lago
Andrés Gertrúdix,Rodolfo Sancho
José de la Torre,María Pedraza
Adriana Ugarte,Javier Gutiérrez
Natalia de Molina,Nora Navas
Adam Nourou,Nora Navas
Amparo Moreno,Greta Fernández
Ahmed Boulane,Miguel Ángel Solá
Ivana Baquero,José Sacristán
Carmen Maura,Ernesto Alterio
Arón Piper,Roberto Enríquez
Adelfa Calvo,Álex Gadea
